   448 | remove tlp                                                                                                                                                     | 2024-02-26 22:33 | Removed        |    4   
    40 | install xprop                                                                                                                                                  | 2022-09-07 17:26 | Install        |    1   
    39 | install cargo                                                                                                                                                  | 2022-09-07 15:58 | Install        |    3   
    38 | install zsh                                                                                                                                                    | 2022-09-07 12:37 | Install        |    1   
    37 | remove xbacklight                                                                                                                                              | 2022-09-07 12:26 | Removed        |    1   
    36 | install xbacklight                                                                                                                                             | 2022-09-07 12:24 | Install        |    1   
    35 | install ripgrep                                                                                                                                                | 2022-09-06 15:48 | Install        |    1   
    34 | -y install --disablerepo=* /tmp/akmods.zucnHkcB/results/kmod-wl-5.19.6-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                         | 2022-09-06 14:34 | Install        |    1 EE
    32 | install -y neovim python3-neovim                                                                                                                               | 2022-09-06 14:30 | Install        |   13   
    31 | install autoconf automake gcc libpng-devel make poppler-devel poppler-glib-devel zlib-devel pkgconf                                                            | 2022-08-31 17:49 | Install        |   34   
    30 | install tex(ulem.sty)                                                                                                                                          | 2022-08-30 11:21 | Install        |    1   
    29 | install dvipng                                                                                                                                                 | 2022-08-30 11:07 | Install        |    1   
    28 | install texlive-scheme-basic                                                                                                                                   | 2022-08-30 11:05 | Install        |  374   
    27 | -y install --disablerepo=* /tmp/akmods.eryf3XEt/results/kmod-wl-5.18.19-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-08-26 09:04 | Install        |    1   
    21 | install npm                                                                                                                                                    | 2022-08-23 20:21 | Install        |    6   
    20 | remove npm                                                                                                                                                     | 2022-08-23 20:20 | Removed        |    6   
    19 | install npm                                                                                                                                                    | 2022-08-23 20:10 | Install        |    6   
    17 | install code                                                                                                                                                   | 2022-08-22 21:31 | Install        |    1  <
    15 | remove npm                                                                                                                                                     | 2022-08-22 21:27 | Removed        |    6   
    14 | install distrobox                                                                                                                                              | 2022-08-22 18:42 | Install        |    1   
    12 | install npm                                                                                                                                                    | 2022-08-22 17:39 | Install        |    6   
    11 | install docker                                                                                                                                                 | 2022-08-22 16:46 | Install        |    3 EE
    10 | install @i3-desktop-environment                                                                                                                                | 2022-08-21 16:04 | Install        |  163 E<
     9 | install emacs                                                                                                                                                  | 2022-08-21 15:15 | Install        |    7 > 
     8 | install gnome-tweaks                                                                                                                                           | 2022-08-21 14:56 | Install        |    1   
     7 | -y install --disablerepo=* /tmp/akmods.1idH4mK8/results/kmod-wl-5.18.18-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-08-21 14:45 | Install        |    1   
     6 | install akmod-wl                                                                                                                                               | 2022-08-21 14:45 | Install        |   49 E<
     5 | install kernel-devel kernel-headers @c-development                                                                                                             | 2022-08-21 14:36 | Install        |   31 > 
     4 | install https://download1.rpmfusion.org/nonfree/fedora/rpmfusion-nonfree-release-36.noarch.rpm                                                                 | 2022-08-21 14:29 | Install        |    1   
     3 | install https://download1.rpmfusion.org/free/fedora/rpmfusion-free-release-36.noarch.rpm                                                                       | 2022-08-21 14:27 | Install        |    1  <
